Site,Date,C_species,Sample_ID,F14C,1sig,Age
WTT80,30/08/2022,DOC,20220830_APR-80.05,0.9454,0.0024,451
WTT80,31/08/2022,CX,22-08-31_APR_80.14_1,0.8983,0.0018,862
WTT40,31/08/2022,CX,22-08-31_APR_40.26_1,0.9254,0.0019,623
WTT40,31/08/2022,DOC,40.26_220831-APR,0.9613,0.0037,317
WTT80,31/08/2022,DOC,80.14_220831_APR,0.9529,0.0032,388
Ditch,1/9/2022,DOC,220901_APR_CANMID,0.943,0.0044,471
Canal,2/9/2022,DOC,220902_APR_CANOUT,0.9632,0.0024,301
WTT40,9/11/2022,CX,221109_APR_40.26,0.9275,0.0019,605
Ditch,9/11/2022,CX,221109_APR_CANMID,0.9179,0.0018,688
Canal,9/11/2022,CX,221109_APR_CANOUT,0.9092,0.0019,764
WTT80,9/11/2022,CX,221109_APR_80.14,0.9029,0.0019,821
WTT40,9/11/2022,DOC,221109_APR_40.26,0.9676,0.0047,265
WTT80,9/11/2022,DOC,221109_APR_80.14,0.9525,0.0035,391
Ditch,9/11/2022,DOC,221109_APR_CANNMID,0.9551,0.0032,369
Canal,9/11/2022,DOC,221109_APR_CANOUT,0.9561,0.0037,361
